Contrast,n_bins,sigma,log10Da_peak,dlog10Da_peak_vs_base,log10Da_centroid_f095,dlog10Da_centroid_f095_vs_base,HI_peak,hitL,hitR,nBins_valid
64.7,40,0.8,-4.881992207922696,-0.17703443700450627,-4.574539964581212,-0.004692759616775177,0.16509542855020093,False,False,40
78.6,40,0.8,-4.375898422607849,0.019678955061414705,-4.444902992154128,0.050156525044299904,0.17064196763190567,False,False,40
95.4,40,0.8,-4.4333604905293935,0.0,-4.436610208549896,0.06360864138593225,0.1796723589597182,False,False,40
115.8,40,0.8,-4.552185349226443,0.0,-4.594326459884726,0.03014607638366318,0.18531850448441708,False,False,40
1.2,40,1.2,-3.679210362406838,0.0,-3.5844574084381726,0.0,0.07652636646274695,False,False,40
1.4,40,1.2,-3.7462620587183544,0.0,-3.678081995138714,0.0,0.0793638031484995,False,False,40
1.7,40,1.2,-3.810768431836128,0.0,-3.6996556027909255,0.0,0.08166031236555761,False,False,40
2.0,40,1.2,-3.684128386766375,0.0,-3.7526485633407436,0.0,0.08445901490040825,False,False,40
2.4,40,1.2,-3.7312527141057643,0.0,-3.739286008803196,0.0,0.08981036387804063,False,False,40
2.9,40,1.2,-3.7908767065325364,0.0,-3.7485883629726278,0.0,0.09339666255449817,False,False,40
3.5,40,1.2,-3.6952818787645136,0.0,-3.7699132593570464,0.0,0.09678356012427104,False,False,40
4.2,40,1.2,-3.7344521869580927,0.0,-3.8195283786407477,0.0,0.0984318435376085,False,False,40
5.1,40,1.2,-3.8185967435337043,0.0,-3.830311114197552,0.0,0.101876242377635,False,False,40
6.2,40,1.2,-3.881850754008356,0.0,-3.852638028095418,0.0,0.10705801477408788,False,False,40
7.6,40,1.2,-3.950003319818432,0.0,-3.9276766952412188,0.0,0.11123234546039817,False,False,40
9.2,40,1.2,-4.005099892914616,0.0,-4.007415320418564,0.0,0.11432219197257493,False,False,40
11.2,40,1.2,-4.071026001826365,0.0,-4.052086942659515,0.0,0.11704812667429658,False,False,40
13.6,40,1.2,-4.1437606992195075,0.0,-4.161560501571304,0.0,0.12294050879636957,False,False,40
16.5,40,1.2,-4.227837662895752,0.0,-4.255100609225375,0.0,0.12911881528376734,False,False,40
20.1,40,1.2,-4.412755955635507,0.0,-4.411562418989979,0.0,0.13487383417373758,False,False,40
24.4,40,1.2,-4.516448907335115,0.0,-4.4997776231779,0.0,0.14023881351256634,False,False,40
29.7,40,1.2,-4.543504496184305,0.0,-4.5817422181085785,0.0,0.14641522059607537,False,False,40
36.1,40,1.2,-4.641861048783404,0.0,-4.631878215708131,0.0,0.15246060246120968,False,False,40
43.9,40,1.2,-4.732864037148676,0.0,-4.7066915432049115,0.0,0.15689688946027455,False,False,40
53.3,40,1.2,-4.797414238056941,0.0,-4.696714501434909,0.0,0.15977894078900728,False,False,40
64.7,40,1.2,-4.70495777091819,0.0,-4.569847204964437,0.0,0.16213528378030734,False,False,40
78.6,40,1.2,-4.395577377669263,0.0,-4.495059517198428,0.0,0.16869153126835884,False,False,40
